"","product_id","title","author","date","ver.purchase","format","stars","comments","helpful","rver_url","rver_id"
"1077","B074J6F41V","Good read.","Little lady",2018-06-16,1,"Format: Kindle Edition",4,"James Comey was honest in his assessments.  He acknowledges that it was his opinion of the situation.  The book was well written, and for the most part kept my attention.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AFSOXVLOESYMKM63GZCU3VYD5T2A/ref=cm_cr_arp_d_pdp?ie=UTF8","AFSOXVLOESYMKM63GZCU3VYD5T2A"
"1078","B074J6F41V","Waste of my money","Phyllis E.",2018-06-16,1,"Format: Hardcover",3,"After reading this book, am not sure if Comey was a victim or a liar.  Gonna take more than this book to unravel this mess.  I have passed it on.  Probably should have waited on it at my library.  Waste of my money.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AEQ4RPR565LDXQRGN7CHXDUTWLNA/ref=cm_cr_arp_d_pdp?ie=UTF8","AEQ4RPR565LDXQRGN7CHXDUTWLNA"
"1079","B074J6F41V","Great Insight","Kevin Devlin",2018-06-16,1,"Format: Kindle Edition",5,"Excellent read. Great honest insight into the FBI. The personnel are above politics etc. well written book. I enjoyed the book and would recommend it.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AHW63IYFGQA4AU4M5WPH7EH4AUWA/ref=cm_cr_arp_d_pdp?ie=UTF8","AHW63IYFGQA4AU4M5WPH7EH4AUWA"
"1080","B074J6F41V","Well written","charlies mom",2018-06-16,1,"Format: Kindle Edition",5,"I thought this book was well written and gave a very good account of his background and viewpoint on issues. I was interested in his opinion on Trump but thought that his background in New York and the Bush and Obama administrations were probably the best chapters.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AH75HAXYOPKMVJHYEUP7K7IHZ4TQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AH75HAXYOPKMVJHYEUP7K7IHZ4TQ"
"1081","B074J6F41V","Five Stars","Amazon Customer",2018-06-16,1,"Format: Hardcover",5,"Great read",NA,"https://www.amazon.com/gp/profile/amzn1.account.AE5XTR2KRH4RXA3QQ3IQR3KTVKMQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AE5XTR2KRH4RXA3QQ3IQR3KTVKMQ"
"1082","B074J6F41V","it will be a good book.","stacy franklin",2018-06-16,1,"Format: Hardcover",4,"I have not read this book yet, but from what I am hearing, it will be a good book.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AEB6QPFHYUFPZ7RGXDRBJPGXKKBQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AEB6QPFHYUFPZ7RGXDRBJPGXKKBQ"
"1083","B074J6F41V","Most important is that this is just a good book. A true page turner. And you will learn a lot along the way.","Judy L.",2018-06-16,1,"Format: Kindle Edition",5,"Very interesting book. Extremely knowledgeable author. Kept my interest from beginning to end.Recommended it to friends.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AHCYB4RKMU63IVMWZJKBZVJ6N5NQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AHCYB4RKMU63IVMWZJKBZVJ6N5NQ"
"1084","B074J6F41V","Five Stars","Amazon Customer",2018-06-16,1,"Format: Kindle Edition",5,"Good product",NA,"https://www.amazon.com/gp/profile/amzn1.account.AEQYAQTPB5KBKMVGDDGLIFISZEEA/ref=cm_cr_arp_d_pdp?ie=UTF8","AEQYAQTPB5KBKMVGDDGLIFISZEEA"
"1085","B074J6F41V","Five Stars","Gloria R.",2018-06-16,1,"Format: Kindle Edition",5,"Well written!",NA,"https://www.amazon.com/gp/profile/amzn1.account.AE5II5RNMKCKRRZBVP34C3QVOR4A/ref=cm_cr_arp_d_pdp?ie=UTF8","AE5II5RNMKCKRRZBVP34C3QVOR4A"
"1086","B074J6F41V","His story and in the manner he delivered it.","ISD",2018-06-16,1,"Format: Kindle Edition",5,"I liked his honesty...<U+0001F44D><U+0001F3FC>",NA,"https://www.amazon.com/gp/profile/amzn1.account.AGLT73ZOWLLOTGGAZQCZB2S77S5Q/ref=cm_cr_arp_d_pdp?ie=UTF8","AGLT73ZOWLLOTGGAZQCZB2S77S5Q"
"1087","B074J6F41V","Really be wanting to learn about JAMES COMEY.","Susan",2018-06-16,1,"Format: Hardcover",1,"NOT IMPRESSED. And I like him. He's really full of himself. I was expecting something else. I had just read Fire and Fury. That was a hard act to follow I guess.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AENNDZP66GNQZ43357LHD2YYFETA/ref=cm_cr_arp_d_pdp?ie=UTF8","AENNDZP66GNQZ43357LHD2YYFETA"
"1088","B074J6F41V","Gives a lot of info you would not otherwise know","Amazon Customer",2018-06-16,1,"Format: Kindle Edition",4,"Well written , good insights into the author and his story",NA,"https://www.amazon.com/gp/profile/amzn1.account.AGETGJHYXX37OSZDABITCRYV7GRQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AGETGJHYXX37OSZDABITCRYV7GRQ"
"1089","B074J6F41V","Not self-serving.  Facts needed for an accurate opinion of the sordid affair.","Ron P",2018-06-16,1,"Format: Kindle Edition",5,"I found ""A Higher Loyalty"" revealing, perceived as true and accurate, a worthwhile read.  I believe my judgement lines up with the IG's later investigative report.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AHVXLCOYQQAH4WRMXRPZRY3E5KMQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AHVXLCOYQQAH4WRMXRPZRY3E5KMQ"
"1090","B074J6F41V","A well written reminder of who we ought to be","Juanita Fletcher",2018-06-16,1,"Format: Kindle Edition",5,"It's nice to know that a government bureaucrat can write well, which for those of us who worked in the government is, in and of itself, quite amazing. I know he had editorial help but so do a lot of the op-ed people whose material is far less logical and well presented. I don't agree with all of Comey's conclusions but his evidence is compelling and he presents it in a logical way. I would have liked him to elaborate more on the long term impact of the events of 2016 and 17 but, given Mueller's investigation and other investigations, I can understand why he did not. The key that comes from this - and that he has presented in public appearances - is that regardless of what we do and the mistakes we make - we must return to the selfless and honorable behavior that are the heart and soul of our democratic traditions.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AERFAR565FYYS2KSDP33OYACZS3A/ref=cm_cr_arp_d_pdp?ie=UTF8","AERFAR565FYYS2KSDP33OYACZS3A"
